                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.99173,                0.71369,                 1.0445,                0.77532,                0.67197,                0.73746,                 0.4661,                 1.1511,                0.79992,                 1.0934,              0.0009585,              0.0009585,              0.0009585
                     56,                0.99252,                0.70973,                 1.0439,                0.73247,                0.70248,                 0.7196,                 0.4538,                 1.1524,                0.78211,                 1.1104,               0.000953,               0.000953,               0.000953
                     57,                0.97917,                0.69676,                 1.0371,                0.76042,                0.64154,                0.72237,                0.44668,                 1.1596,                0.81177,                 1.1092,              0.0009475,              0.0009475,              0.0009475
                     58,                0.98673,                0.70644,                 1.0435,                0.74059,                0.68439,                0.71584,                0.44335,                 1.1686,                0.80179,                 1.1212,               0.000942,               0.000942,               0.000942
                     59,                0.99927,                0.70921,                 1.0466,                0.75624,                0.66289,                0.72761,                0.45406,                 1.1662,                0.81987,                 1.1145,              0.0009365,              0.0009365,              0.0009365
                     60,                 0.9795,                0.69171,                 1.0376,                0.74997,                0.67188,                 0.7099,                0.44601,                 1.1733,                0.80104,                 1.1116,               0.000931,               0.000931,               0.000931
                     61,                0.97112,                 0.6977,                 1.0333,                0.75323,                0.66494,                0.73155,                0.44883,                 1.1487,                0.79211,                 1.0954,              0.0009255,              0.0009255,              0.0009255
                     62,                 0.9717,                0.69036,                 1.0305,                0.72358,                0.71775,                0.74273,                 0.4678,                 1.1496,                0.78912,                 1.1002,                0.00092,                0.00092,                0.00092
                     63,                0.96783,                0.68806,                 1.0288,                0.73236,                0.69189,                0.71706,                0.45215,                 1.1442,                0.78546,                 1.1027,              0.0009145,              0.0009145,              0.0009145
                     64,                0.96011,                0.68049,                 1.0288,                0.73801,                0.68814,                0.72009,                0.44895,                 1.1616,                 0.8005,                 1.1071,               0.000909,               0.000909,               0.000909
                     65,                0.95917,                0.67471,                 1.0288,                0.73656,                0.68913,                0.70857,                0.44875,                 1.1222,                0.78292,                 1.0989,              0.0009035,              0.0009035,              0.0009035
                     66,                0.95499,                0.67481,                 1.0291,                 0.7705,                0.67438,                0.73593,                0.46882,                 1.1447,                0.77329,                  1.097,               0.000898,               0.000898,               0.000898
                     67,                0.95463,                0.67476,                 1.0286,                0.72499,                0.67915,                0.71925,                0.45732,                 1.1412,                0.80454,                 1.1004,              0.0008925,              0.0008925,              0.0008925
                     68,                 0.9506,                 0.6681,                 1.0275,                 0.8087,                 0.6562,                0.72842,                0.45942,                  1.121,                0.77419,                 1.0853,               0.000887,               0.000887,               0.000887
                     69,                0.94823,                0.66962,                 1.0215,                 0.7975,                0.67491,                0.74385,                0.47173,                 1.1468,                0.77296,                 1.0972,              0.0008815,              0.0008815,              0.0008815
                     70,                0.94491,                0.66483,                 1.0201,                0.71928,                 0.6953,                0.73831,                0.46324,                 1.1443,                0.78556,                 1.1057,               0.000876,               0.000876,               0.000876
                     71,                0.93896,                0.66282,                  1.022,                0.75072,                0.68316,                0.71675,                0.45165,                 1.1441,                0.77712,                 1.1055,              0.0008705,              0.0008705,              0.0008705
                     72,                0.95015,                0.67286,                 1.0229,                 0.7643,                0.69025,                0.73187,                0.46381,                 1.1686,                0.78121,                  1.094,               0.000865,               0.000865,               0.000865
                     73,                0.93635,                0.65557,                 1.0126,                0.78561,                0.65804,                0.73042,                0.45845,                  1.162,                0.79227,                 1.1063,              0.0008595,              0.0008595,              0.0008595
                     74,                0.93119,                0.64825,                 1.0136,                0.74483,                0.67513,                 0.7219,                0.45629,                 1.1418,                0.77115,                 1.0993,               0.000854,               0.000854,               0.000854
                     75,                0.93713,                0.65148,                 1.0182,                0.75016,                 0.6809,                 0.7373,                0.46137,                 1.1628,                0.77921,                 1.1079,              0.0008485,              0.0008485,              0.0008485
                     76,                0.93182,                0.65105,                 1.0189,                0.77973,                0.67184,                0.74509,                0.46446,                 1.1569,                0.77763,                 1.1027,               0.000843,               0.000843,               0.000843
                     77,                0.92072,                0.64436,                 1.0127,                0.76802,                0.68832,                0.74648,                0.46963,                 1.1579,                0.77497,                 1.1029,              0.0008375,              0.0008375,              0.0008375
                     78,                0.91816,                0.64772,                 1.0132,                0.79023,                0.66382,                0.73129,                0.46419,                 1.1511,                0.76503,                 1.0976,               0.000832,               0.000832,               0.000832
                     79,                0.92024,                0.64249,                 1.0098,                0.79958,                0.65045,                0.72859,                0.45985,                 1.1577,                0.78868,                 1.1121,              0.0008265,              0.0008265,              0.0008265
                     80,                0.91543,                 0.6403,                 1.0112,                0.71672,                0.70197,                0.71744,                0.45922,                 1.1558,                0.78082,                 1.0963,               0.000821,               0.000821,               0.000821
                     81,                0.91148,                0.63339,                 1.0037,                0.75261,                0.68665,                0.72639,                 0.4649,                  1.143,                0.76229,                 1.0951,              0.0008155,              0.0008155,              0.0008155
                     82,                0.91152,                0.63722,                 1.0093,                0.73606,                0.70726,                 0.7341,                0.46813,                 1.1328,                 0.7398,                 1.0996,                0.00081,                0.00081,                0.00081
